alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.101,0.0,0.0,10425.717,622.45746,2043.98,0.8999999761581421,5795.71826171875,6.944444444444457e-05,274.03468132019043,0.78125,4181.82666015625
0.102,0.0,0.0,6682.4644,492.90988,756.41986,0.8999999761581421,5707.60400390625,,,,
0.103,0.0,0.0,9047.734,232.0051,707.56,0.8999999761581421,5712.65869140625,,,,
0.104,0.0,0.0,7035.443,605.63715,217.1799,0.8999999761581421,5707.04541015625,,,,
0.105,0.0,0.0,6370.5454,107.610565,534.06,0.8999999761581421,5613.39990234375,,,,
0.106,0.0,0.0,1693.202,299.40744,1709.28,0.8999999761581421,5536.5283203125,,,,
0.107,0.0,0.0,6277.4897,203.61667,6531.7397,0.8999999761581421,5686.12646484375,,,,
0.108,0.0,0.0,7521.272,741.3879,8553.47,0.8999999761581421,5669.61865234375,,,,
0.109,0.0,0.0,10769.92,562.05975,7489.55,0.8999999761581421,5695.8974609375,,,,
0.11,0.0,0.0,9278.541,2859.5999,6465.61,0.8999999761581421,5607.8046875,,,,
0.111,0.0,0.0,8038.9453,848.1009,7796.9,0.875,5593.94287109375,,,,
0.112,0.0,0.0,10996.948,1770.8374,6072.56,0.875,5534.5771484375,,,,
0.113,0.0,0.0,9911.161,2029.1117,3256.84,0.875,5406.62890625,,,,
0.114,0.0,0.0,6813.6196,2499.0173,1819.84,0.875,5323.984375,,,,
0.115,0.0,0.0,5320.547,966.4985,3741.33,0.875,5305.07568359375,,,,
0.116,0.0,0.0,8365.679,911.66156,2954.56,0.875,5249.6953125,,,,
0.117,0.0,0.0,6874.215,1757.8417,1852.88,0.875,5128.21875,,,,
0.118,0.0,0.0,4323.5396,481.24704,627.1799,0.875,5156.5126953125,,,,
0.119,0.0,0.0,4402.542,811.3654,997.63995,0.875,5229.31396484375,,,,
0.12,0.0,0.0,5503.1157,1040.8164,1396.49,0.875,5397.84716796875,,,,
0.121,0.0,0.0,7946.012,995.0041,1201.33,0.875,5431.7158203125,,,,
0.122,0.0,0.0,5341.2026,295.3408,3633.08,0.875,5326.88818359375,,,,
0.123,0.0,0.0,6548.1035,955.08356,463.31003,0.875,5342.9052734375,,,,
0.124,0.0,0.0,3795.7417,172.05563,1522.3701,0.875,5299.49462890625,,,,
0.125,0.0,0.0,6368.228,335.61423,1093.1499,0.875,5342.22021484375,,,,
0.116,1.0,1.0,6194.9062,1066.8463,370.61008,0.875,5324.33837890625,,,,
0.117,0.0,0.0,4485.6797,116.178925,1071.68,0.8999999761581421,5275.69140625,,,,
0.118,0.0,0.0,5856.5557,480.94064,557.2199,0.8999999761581421,5266.01416015625,,,,
0.119,0.0,0.0,6292.0723,122.643524,661.54,0.8999999761581421,5265.59521484375,,,,
0.12,0.0,0.0,5231.338,268.17453,3235.08,0.8999999761581421,5159.82861328125,,,,
0.121,0.0,0.0,3187.202,233.39133,1048.06,0.8999999761581421,5110.20166015625,,,,
0.122,0.0,0.0,3552.2568,89.714325,1432.69,0.8999999761581421,5200.193359375,,,,
0.123,0.0,0.0,3554.4277,377.07272,620.29,0.8999999761581421,5275.99609375,,,,
0.114,1.0,1.0,5758.206,828.112,223.04001,0.8999999761581421,5321.490234375,,,,
0.115,0.0,0.0,4517.471,220.88327,813.91986,0.925000011920929,5272.1201171875,,,,
0.116,0.0,0.0,5959.031,167.46994,3135.41,0.925000011920929,5249.533203125,,,,
