alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.101,0.0,0.0,8704.42,-91.129425,2043.98,0.8999999761581421,5869.06005859375,0.0,98.65378832817078,0.828125,3955.962158203125
0.102,0.0,0.0,7226.0513,-3.029816,756.41986,0.8999999761581421,5845.8154296875,,,,
0.103,0.0,0.0,9290.858,367.18845,707.56,0.8999999761581421,5831.27734375,,,,
0.104,0.0,0.0,5318.997,341.98923,217.1799,0.8999999761581421,5809.890625,,,,
0.105,0.0,0.0,5364.692,-112.97366,534.06,0.8999999761581421,5832.74365234375,,,,
0.106,0.0,0.0,1911.0818,-311.68533,1709.28,0.8999999761581421,5786.60791015625,,,,
0.107,0.0,0.0,6070.859,-787.05597,6531.7397,0.8999999761581421,5886.3935546875,,,,
0.098,1.0,1.0,7788.1187,927.82733,8553.47,0.8999999761581421,5826.4267578125,,,,
0.099,0.0,0.0,11100.652,1095.9099,7489.55,0.925000011920929,5857.35546875,,,,
0.1,0.0,0.0,8950.686,2956.7585,6465.61,0.925000011920929,5765.30615234375,,,,
0.101,0.0,0.0,7716.668,780.2155,7796.9,0.8999999761581421,5740.8955078125,,,,
0.102,0.0,0.0,9907.749,818.1164,6072.56,0.8999999761581421,5666.10595703125,,,,
0.103,0.0,0.0,9599.198,2539.5928,3256.84,0.8999999761581421,5544.84375,,,,
0.104,0.0,0.0,6406.0327,1533.9697,1819.84,0.8999999761581421,5498.697265625,,,,
0.105,0.0,0.0,5454.675,545.72894,3741.33,0.8999999761581421,5465.94677734375,,,,
0.106,0.0,0.0,8117.6157,801.1601,2954.56,0.8999999761581421,5427.64599609375,,,,
0.107,0.0,0.0,7370.9653,1303.8452,1852.88,0.8999999761581421,5313.89599609375,,,,
0.108,0.0,0.0,4005.341,393.9111,627.1799,0.8999999761581421,5302.2255859375,,,,
0.109,0.0,0.0,4603.0005,369.2136,997.63995,0.8999999761581421,5380.88427734375,,,,
0.11,0.0,0.0,5148.906,437.14206,1396.49,0.8999999761581421,5482.3232421875,,,,
0.111,0.0,0.0,6541.866,525.34955,1201.33,0.8999999761581421,5464.2802734375,,,,
0.112,0.0,0.0,4584.354,-246.2305,3633.08,0.8999999761581421,5380.95947265625,,,,
0.113,0.0,0.0,6291.604,709.706,463.31003,0.8999999761581421,5380.9873046875,,,,
0.114,0.0,0.0,4224.0205,309.8679,1522.3701,0.8999999761581421,5337.7744140625,,,,
0.115,0.0,0.0,5696.71,-248.03201,1093.1499,0.8999999761581421,5301.97119140625,,,,
0.106,1.0,1.0,5399.171,640.07806,370.61008,0.8999999761581421,5271.8662109375,,,,
0.107,0.0,0.0,5356.7036,-156.58987,1071.68,0.925000011920929,5242.84521484375,,,,
0.108,0.0,0.0,5122.021,-976.3692,557.2199,0.925000011920929,5212.9931640625,,,,
