alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.101,0.0,0.0,10691.823,1224.954,2043.98,130.5680229663849
0.102,0.0,0.0,8697.915,262.32956,756.41986,
0.103,0.0,0.0,8867.982,274.0471,707.56,
0.094,1.0,1.0,7133.054,211.93283,217.1799,
0.085,1.0,1.0,6671.116,-7.676544,534.06,
0.086,0.0,0.0,4837.892,-92.59842,1709.28,
0.077,1.0,1.0,5649.426,315.40768,6531.7397,
0.068,1.0,1.0,8156.426,215.84958,8553.47,
0.069,0.0,0.0,9152.85,468.73923,7489.55,
0.07,0.0,0.0,9906.943,884.0706,6465.61,
0.071,0.0,0.0,10459.323,535.8996,7796.9,
0.072,0.0,0.0,11138.822,596.58295,6072.56,
0.073,0.0,0.0,11284.173,602.33563,3256.84,
0.074,0.0,0.0,10252.566,1189.4769,1819.84,
0.075,0.0,0.0,9758.199,388.59225,3741.33,
0.076,0.0,0.0,9328.92,361.07224,2954.56,
0.077,0.0,0.0,9078.098,115.79855,1852.88,
0.078,0.0,0.0,8903.658,172.34982,627.1799,
0.079,0.0,0.0,8273.566,197.04391,997.63995,
0.08,0.0,0.0,7729.356,-42.49344,1396.49,
0.081,0.0,0.0,8227.756,141.33347,1201.33,
0.082,0.0,0.0,7806.3564,-81.71683,3633.08,
0.083,0.0,0.0,7785.6025,144.27853,463.31003,
0.084,0.0,0.0,6470.4634,191.79636,1522.3701,
0.085,0.0,0.0,7789.3354,131.05075,1093.1499,
0.086,0.0,0.0,7486.767,-52.205353,370.61008,
0.087,0.0,0.0,7660.9346,-163.04227,1071.68,
0.088,0.0,0.0,6774.123,-24.17508,557.2199,
0.089,0.0,0.0,7068.482,309.42844,661.54,
0.09,0.0,0.0,6133.3555,163.31638,3235.08,
0.091,0.0,0.0,6494.315,53.17453,1048.06,
0.092,0.0,0.0,6589.3105,260.41037,1432.69,
0.093,0.0,0.0,6933.842,269.7463,620.29,
0.084,1.0,1.0,7925.1514,-80.579865,223.04001,
0.085,0.0,0.0,7348.7935,-145.86795,813.91986,
0.086,0.0,0.0,5940.3853,-53.185333,3135.41,
0.077,1.0,1.0,7097.663,76.16916,9168.87,
0.068,1.0,1.0,8924.729,845.7746,9269.2,
0.069,0.0,0.0,10405.925,928.04486,6191.4097,
0.07,0.0,0.0,11301.344,851.96344,1212.9,
0.071,0.0,0.0,9339.679,-3.0014956,2525.3,
0.072,0.0,0.0,9427.418,389.56662,1117.4501,
0.073,0.0,0.0,8912.189,-1.3733218,606.34,
0.074,0.0,0.0,8421.19,-222.76346,474.09006,
0.075,0.0,0.0,7562.026,-133.31473,1867.64,
0.076,0.0,0.0,8141.9595,-661.9305,2347.68,
0.077,0.0,0.0,7393.6406,-113.11624,4843.68,
0.078,0.0,0.0,8544.775,336.53952,3998.97,
0.079,0.0,0.0,8264.603,340.5278,4573.79,
0.07,1.0,1.0,9285.477,459.91306,446.31003,
0.071,0.0,0.0,8884.778,0.18136579,1453.5499,
0.072,0.0,0.0,8330.996,24.256073,1156.6101,
0.073,0.0,0.0,8385.91,178.73386,1138.1,
0.074,0.0,0.0,6764.7427,323.88498,287.35007,
0.075,0.0,0.0,5502.7896,317.1992,568.4399,
