alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.101,0.0,0.0,11090.607,814.16034,2043.98,247.73490023612976
0.102,0.0,0.0,9439.83,473.47214,756.41986,
0.103,0.0,0.0,9259.116,190.08347,707.56,
0.094,1.0,1.0,8071.9844,321.80637,217.1799,
0.095,0.0,0.0,7377.6826,-18.405304,534.06,
0.096,0.0,0.0,5644.2227,89.63913,1709.28,
0.097,0.0,0.0,5786.4414,155.23776,6531.7397,
0.088,1.0,1.0,7544.244,338.3713,8553.47,
0.089,0.0,0.0,9712.818,582.14667,7489.55,
0.09,0.0,0.0,9482.331,681.3188,6465.61,
0.091,0.0,0.0,10224.815,779.4091,7796.9,
0.092,0.0,0.0,10303.193,592.69525,6072.56,
0.093,0.0,0.0,10916.127,721.7404,3256.84,
0.094,0.0,0.0,10525.886,1566.2589,1819.84,
0.095,0.0,0.0,9424.776,115.302704,3741.33,
0.096,0.0,0.0,10110.286,561.2775,2954.56,
0.097,0.0,0.0,9192.655,649.3493,1852.88,
0.098,0.0,0.0,8943.275,500.38522,627.1799,
0.099,0.0,0.0,8867.363,361.62717,997.63995,
0.1,0.0,0.0,8263.397,489.05026,1396.49,
0.101,0.0,0.0,8519.021,380.56833,1201.33,
0.102,0.0,0.0,8286.466,132.08493,3633.08,
0.103,0.0,0.0,8113.409,308.70847,463.31003,
0.104,0.0,0.0,6825.501,293.2612,1522.3701,
0.105,0.0,0.0,8173.7695,442.17282,1093.1499,
0.096,1.0,1.0,7773.5854,389.02902,370.61008,
0.097,0.0,0.0,8791.492,111.724335,1071.68,
0.098,0.0,0.0,7602.5156,299.32858,557.2199,
0.099,0.0,0.0,7590.127,240.77048,661.54,
0.1,0.0,0.0,7744.24,282.3298,3235.08,
0.101,0.0,0.0,7331.201,274.19186,1048.06,
0.102,0.0,0.0,6856.6445,289.31418,1432.69,
0.103,0.0,0.0,7523.4927,424.0051,620.29,
0.094,1.0,1.0,8666.922,262.23288,223.04001,
0.095,0.0,0.0,7889.3945,141.61984,813.91986,
0.096,0.0,0.0,6499.4272,27.049286,3135.41,
0.087,1.0,1.0,7838.0947,322.67477,9168.87,
0.088,0.0,0.0,9312.738,1237.6703,9269.2,
