alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.101,0.0,0.0,10761.2295,662.44086,2043.98,144.56490325927734
0.102,0.0,0.0,9251.6,149.22263,756.41986,
0.103,0.0,0.0,8987.1875,344.6152,707.56,
0.094,1.0,1.0,7032.3984,406.16818,217.1799,
0.085,1.0,1.0,6518.3247,54.473846,534.06,
0.086,0.0,0.0,4997.0054,132.43845,1709.28,
0.077,1.0,1.0,5484.737,-42.595978,6531.7397,
0.068,1.0,1.0,6748.1177,24.90158,8553.47,
0.069,0.0,0.0,9577.508,639.49457,7489.55,
0.07,0.0,0.0,9051.64,799.54364,6465.61,
0.071,0.0,0.0,10106.086,841.7365,7796.9,
0.072,0.0,0.0,10895.11,514.5224,6072.56,
0.073,0.0,0.0,11140.804,571.33295,3256.84,
0.074,0.0,0.0,10164.745,1481.8176,1819.84,
0.075,0.0,0.0,9366.115,171.44162,3741.33,
0.076,0.0,0.0,9608.329,332.49484,2954.56,
0.077,0.0,0.0,9221.352,369.60007,1852.88,
0.078,0.0,0.0,8552.633,247.19943,627.1799,
0.079,0.0,0.0,8214.125,7.271454,997.63995,
0.08,0.0,0.0,7462.389,157.4802,1396.49,
0.081,0.0,0.0,7946.457,192.99826,1201.33,
0.082,0.0,0.0,8104.1357,-53.88968,3633.08,
0.083,0.0,0.0,7849.012,271.88156,463.31003,
0.084,0.0,0.0,6644.708,-13.5954895,1522.3701,
0.085,0.0,0.0,7674.307,267.88937,1093.1499,
0.086,0.0,0.0,7421.625,-59.87259,370.61008,
0.087,0.0,0.0,7542.3545,66.29001,1071.68,
0.088,0.0,0.0,7110.596,35.060272,557.2199,
0.089,0.0,0.0,6727.961,137.3115,661.54,
0.09,0.0,0.0,6451.104,-48.18582,3235.08,
0.091,0.0,0.0,6349.1836,49.70529,1048.06,
0.092,0.0,0.0,6497.1743,252.69455,1432.69,
0.093,0.0,0.0,6584.469,234.85568,620.29,
0.084,1.0,1.0,7814.5474,100.78,223.04001,
0.085,0.0,0.0,7371.902,127.77902,813.91986,
0.086,0.0,0.0,5829.4995,-58.659943,3135.41,
0.077,1.0,1.0,6818.0435,8.967255,9168.87,
0.078,0.0,0.0,9309.89,815.1369,9269.2,
0.079,0.0,0.0,10376.786,960.74347,6191.4097,
0.07,1.0,1.0,10836.577,1382.2601,1212.9,
0.071,0.0,0.0,8227.79,364.93015,2525.3,
0.072,0.0,0.0,8993.43,335.89255,1117.4501,
0.073,0.0,0.0,8672.681,181.51584,606.34,
0.074,0.0,0.0,8180.7197,309.5483,474.09006,
0.075,0.0,0.0,6974.198,108.77707,1867.64,
0.076,0.0,0.0,7918.914,188.94626,2347.68,
0.077,0.0,0.0,7266.832,-176.99124,4843.68,
0.078,0.0,0.0,9376.969,516.09393,3998.97,
0.079,0.0,0.0,8166.752,572.0788,4573.79,
0.07,1.0,1.0,9056.381,510.01633,446.31003,
0.071,0.0,0.0,8355.065,351.85764,1453.5499,
0.072,0.0,0.0,7865.4194,286.1865,1156.6101,
0.073,0.0,0.0,8181.609,-19.024933,1138.1,
0.074,0.0,0.0,6539.826,75.27072,287.35007,
0.075,0.0,0.0,5475.2983,240.78244,568.4399,
0.076,0.0,0.0,6410.0425,-239.05106,794.54,
0.077,0.0,0.0,6437.8047,-61.760773,931.51984,
0.078,0.0,0.0,8295.62,-147.89627,3880.2,
0.079,0.0,0.0,9046.301,-27.455353,844.9001,
0.08,0.0,0.0,7803.189,315.59836,633.77997,
0.081,0.0,0.0,8030.953,112.8342,2120.33,
0.082,0.0,0.0,7776.6714,81.49509,1603.13,
0.083,0.0,0.0,6124.6577,312.87863,371.07004,
