alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.101,0.0,0.0,10386.6,16.088348,2043.98,0.8999999761581421,7554.8603515625,3.6764705882353006e-05,355.1217215061188,0.9427083333333334,5564.78662109375
0.102,0.0,0.0,9026.196,339.884,756.41986,0.8999999761581421,7450.6796875,,,,
0.103,0.0,0.0,8936.304,-207.29495,707.56,0.8999999761581421,7427.29541015625,,,,
0.094,1.0,1.0,7307.5796,1023.60333,217.1799,0.8999999761581421,7397.35302734375,,,,
0.095,0.0,0.0,6298.604,-536.6114,534.06,0.925000011920929,7433.5732421875,,,,
0.096,0.0,0.0,4951.999,-153.52835,1709.28,0.925000011920929,7428.67822265625,,,,
0.097,0.0,0.0,6911.526,314.41574,6531.7397,0.925000011920929,7495.46240234375,,,,
0.098,0.0,0.0,8323.015,156.57272,8553.47,0.925000011920929,7502.77978515625,,,,
0.099,0.0,0.0,10605.317,427.07956,7489.55,0.925000011920929,7504.93896484375,,,,
0.1,0.0,0.0,10546.55,952.4229,6465.61,0.925000011920929,7432.05322265625,,,,
0.101,0.0,0.0,10824.995,617.73505,7796.9,0.8999999761581421,7359.203125,,,,
0.102,0.0,0.0,9710.654,609.9489,6072.56,0.8999999761581421,7231.2451171875,,,,
0.103,0.0,0.0,10038.238,1153.3107,3256.84,0.8999999761581421,7155.0048828125,,,,
0.104,0.0,0.0,9356.592,1267.3779,1819.84,0.8999999761581421,7077.26171875,,,,
0.105,0.0,0.0,7025.741,922.58405,3741.33,0.875,7021.6611328125,,,,
0.106,0.0,0.0,9586.457,706.29315,2954.56,0.875,7006.0029296875,,,,
0.107,0.0,0.0,7863.137,866.5372,1852.88,0.875,6941.3408203125,,,,
0.108,0.0,0.0,7080.8315,526.4621,627.1799,0.875,6937.62744140625,,,,
0.109,0.0,0.0,6238.9307,-81.085724,997.63995,0.875,6971.3173828125,,,,
0.11,0.0,0.0,6026.414,294.71555,1396.49,0.875,7012.0556640625,,,,
0.111,0.0,0.0,7581.0933,166.32053,1201.33,0.875,7065.01708984375,,,,
0.112,0.0,0.0,7071.279,-8.201202,3633.08,0.875,7030.58447265625,,,,
0.103,1.0,1.0,7816.307,462.72897,463.31003,0.875,7021.578125,,,,
