alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.101,0.0,0.0,8657.989,-646.263,2043.98,214.9574875831604
0.102,0.0,0.0,8070.3745,-142.83401,756.41986,
0.103,0.0,0.0,6635.866,-521.1485,707.56,
0.094,1.0,1.0,7072.0293,272.8889,217.1799,
0.095,0.0,0.0,7135.1646,-79.26224,534.06,
0.096,0.0,0.0,3846.51,-906.1446,1709.28,
0.097,0.0,0.0,6056.3135,-24.25882,6531.7397,
0.098,0.0,0.0,8511.9375,360.23434,8553.47,
0.099,0.0,0.0,10588.585,651.7082,7489.55,
0.1,0.0,0.0,9257.012,1411.482,6465.61,
0.101,0.0,0.0,8560.829,1204.9814,7796.9,
0.102,0.0,0.0,9972.7,939.8189,6072.56,
0.103,0.0,0.0,9537.855,1144.4136,3256.84,
0.104,0.0,0.0,7690.304,1539.8224,1819.84,
0.105,0.0,0.0,6546.193,-605.99396,3741.33,
0.106,0.0,0.0,8559.458,533.43475,2954.56,
0.107,0.0,0.0,6938.079,821.88007,1852.88,
0.108,0.0,0.0,5680.5054,500.97995,627.1799,
0.109,0.0,0.0,5555.774,-28.786896,997.63995,
0.11,0.0,0.0,5194.8667,-132.37137,1396.49,
0.111,0.0,0.0,7268.7183,-450.39554,1201.33,
0.112,0.0,0.0,6737.208,-711.6893,3633.08,
0.113,0.0,0.0,6947.6904,438.27902,463.31003,
0.114,0.0,0.0,5617.2246,-808.62994,1522.3701,
0.115,0.0,0.0,6835.5034,244.85641,1093.1499,
0.116,0.0,0.0,5587.6846,128.10739,370.61008,
0.117,0.0,0.0,5455.53,-389.0281,1071.68,
0.118,0.0,0.0,6034.537,-191.69485,557.2199,
0.119,0.0,0.0,6233.8325,-1004.608,661.54,
0.12,0.0,0.0,4813.986,-547.0179,3235.08,
0.121,0.0,0.0,5280.619,-167.73831,1048.06,
0.122,0.0,0.0,5643.332,-569.0811,1432.69,
0.123,0.0,0.0,4793.56,392.43552,620.29,
0.124,0.0,0.0,6324.817,-1066.7849,223.04001,
0.125,0.0,0.0,5132.9155,-504.18387,813.91986,
0.126,0.0,0.0,5268.071,-851.8724,3135.41,
0.117,1.0,1.0,7153.139,394.7048,9168.87,
0.118,0.0,0.0,11071.279,2788.4587,9269.2,
0.119,0.0,0.0,10459.959,1767.5787,6191.4097,
0.12,0.0,0.0,8888.416,1223.3082,1212.9,
0.121,0.0,0.0,5583.619,492.96017,2525.3,
0.122,0.0,0.0,6988.22,1051.6472,1117.4501,
0.123,0.0,0.0,7537.645,22.391815,606.34,
0.124,0.0,0.0,5663.7617,-17.016144,474.09006,
0.125,0.0,0.0,5209.5723,-926.3145,1867.64,
0.126,0.0,0.0,6971.468,119.79489,2347.68,
0.127,0.0,0.0,5942.4365,32.196503,4843.68,
0.128,0.0,0.0,8637.151,740.5173,3998.97,
0.129,0.0,0.0,6741.429,659.33563,4573.79,
0.12,1.0,1.0,6971.714,1153.2754,446.31003,
0.121,0.0,0.0,5190.63,331.0493,1453.5499,
0.122,0.0,0.0,5706.008,82.471405,1156.6101,
0.123,0.0,0.0,4723.312,-341.73685,1138.1,
0.124,0.0,0.0,4432.503,185.83688,287.35007,
0.125,0.0,0.0,4289.1777,-568.2681,568.4399,
0.126,0.0,0.0,3857.5928,-300.68484,794.54,
0.127,0.0,0.0,5304.537,-433.2388,931.51984,
0.128,0.0,0.0,5907.393,-399.21512,3880.2,
0.129,0.0,0.0,6321.9644,403.1035,844.9001,
0.13,0.0,0.0,5742.355,248.19089,633.77997,
0.131,0.0,0.0,4812.5474,-629.8023,2120.33,
0.132,0.0,0.0,4674.5093,-130.56326,1603.13,
0.133,0.0,0.0,5026.559,295.3232,371.07004,
0.134,0.0,0.0,4776.8657,-348.63138,440.57004,
0.135,0.0,0.0,4701.0684,-422.36673,274.81003,
0.136,0.0,0.0,4849.045,-550.70807,1072.4401,
0.137,0.0,0.0,4584.774,52.21579,641.63983,
0.138,0.0,0.0,4076.985,-338.13748,296.53,
0.139,0.0,0.0,4004.9258,-310.02054,1083.25,
0.14,0.0,0.0,4076.2087,-609.0667,2815.18,
0.141,0.0,0.0,6488.889,165.14963,3579.73,
0.142,0.0,0.0,7265.3213,605.92255,1999.9299,
0.143,0.0,0.0,4434.097,418.62912,851.7399,
0.144,0.0,0.0,4320.0244,204.92502,814.13983,
0.145,0.0,0.0,3979.1038,5.280487,1956.85,
0.146,0.0,0.0,5196.093,107.484344,2396.97,
0.147,0.0,0.0,5985.0703,475.58615,2790.7,
0.148,0.0,0.0,5290.129,555.8986,1813.59,
0.149,0.0,0.0,5316.3613,414.77365,2178.59,
0.15,0.0,0.0,3840.4895,162.31955,584.95013,
0.151,0.0,0.0,3666.2888,-146.73807,938.1401,
0.152,0.0,0.0,3941.8862,108.05881,2008.55,
0.153,0.0,0.0,4926.811,330.41843,4859.75,
0.154,0.0,0.0,7467.5527,1344.363,2504.15,
0.155,0.0,0.0,5888.5474,582.4089,629.8598,
0.156,0.0,0.0,2149.1675,286.8845,466.82004,
0.157,0.0,0.0,3686.4666,34.10373,1628.93,
0.158,0.0,0.0,4608.2563,159.11765,897.79,
0.159,0.0,0.0,3731.0718,29.881561,359.21994,
0.16,0.0,0.0,3535.05,-256.25443,2359.16,
0.161,0.0,0.0,4865.0117,810.2155,2417.73,
0.152,1.0,1.0,4700.5054,100.64279,4958.52,
0.153,0.0,0.0,6947.0103,1163.4307,2457.51,
0.144,1.0,1.0,5331.6934,576.663,310.37985,
