y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
8429.875,600.9965,4397.07,0.6499999761581421,3953.46435546875,0.02580508474576274,10.967201232910156,0.7341772151898734,3953.4228515625
7004.1606,665.99725,196.86,0.6499999761581421,3731.46484375,,,,
2451.2666,512.76483,1308.53,0.699999988079071,3724.649658203125,,,,
3793.9387,1014.9666,1426.1,0.699999988079071,3807.74267578125,,,,
6721.965,608.6921,3795.81,0.6499999761581421,4032.678955078125,,,,
8127.57,1525.6073,824.42,0.6499999761581421,3914.7421875,,,,
3548.1746,130.33371,1022.14,0.699999988079071,3656.53369140625,,,,
2978.9949,364.13913,884.22,0.699999988079071,3669.41259765625,,,,
4357.4243,390.3757,387.74,0.699999988079071,3739.15185546875,,,,
3016.0403,278.46896,850.92,0.75,3765.16064453125,,,,
4060.9822,489.05295,1090.91,0.75,3800.31396484375,,,,
4607.927,496.61716,234.53,0.75,3757.64013671875,,,,
2485.1143,397.52145,105.37,0.800000011920929,3728.49951171875,,,,
2783.1494,352.83932,104.03,0.8500000238418579,3817.13720703125,,,,
3247.0854,271.0627,542.48,0.8500000238418579,3867.947998046875,,,,
4318.337,333.78952,882.94,0.8500000238418579,3823.72119140625,,,,
5231.358,405.12643,578.83,0.8500000238418579,3761.778076171875,,,,
4002.6743,392.78586,380.34,0.8500000238418579,3702.299560546875,,,,
3497.378,389.02267,824.17,0.8999999761581421,3723.229248046875,,,,
4475.0977,449.0554,650.83,0.8999999761581421,3759.97607421875,,,,
3812.1157,423.22995,2074.02,0.8500000238418579,3752.817138671875,,,,
6819.999,618.14813,1049.59,0.8500000238418579,3714.028564453125,,,,
3994.7517,394.38937,3471.46,0.8500000238418579,3535.19970703125,,,,
8049.158,771.45746,484.46,0.8500000238418579,3538.619140625,,,,
3934.514,179.98361,319.5,0.8999999761581421,3380.61328125,,,,
1766.8793,329.0803,450.03,0.8999999761581421,3390.123779296875,,,,
3959.594,284.17258,845.72,0.8999999761581421,3451.14013671875,,,,
4297.7847,288.14206,1105.76,0.8999999761581421,3452.086669921875,,,,
4987.858,500.63693,820.6,0.8999999761581421,3485.089111328125,,,,
3913.971,473.3337,518.09,0.8999999761581421,3540.971923828125,,,,
3157.9622,439.5085,855.14,0.8999999761581421,3637.65625,,,,
4009.1943,480.7031,1053.83,0.8999999761581421,3639.07763671875,,,,
4366.5205,506.16794,973.65,0.8500000238418579,3636.84521484375,,,,
3962.482,515.9582,205.38,0.800000011920929,4037.968017578125,,,,
2472.3477,380.86203,412.87,0.8500000238418579,4170.4716796875,,,,
3162.9575,417.2673,610.35,0.8500000238418579,4240.806640625,,,,
4021.587,384.92062,899.82,0.8500000238418579,4469.07177734375,,,,
4490.523,462.04367,803.31,0.8500000238418579,4511.3798828125,,,,
4295.759,452.47067,1005.94,0.8500000238418579,4444.861328125,,,,
4396.1406,513.27826,466.84,0.800000011920929,4336.7705078125,,,,
3020.7354,407.6191,459.05,0.8500000238418579,4271.306640625,,,,
3067.699,442.4321,706.69,0.8500000238418579,4338.0146484375,,,,
4093.5645,424.81662,1041.8,0.8500000238418579,4459.4814453125,,,,
4615.299,497.70578,1036.9,0.800000011920929,4576.3935546875,,,,
4450.8027,506.06442,527.9,0.800000011920929,4493.55810546875,,,,
3095.5183,437.38986,998.07,0.75,4416.7783203125,,,,
4209.6177,515.2636,1493.54,0.75,4410.36962890625,,,,
5216.62,546.9333,2299.9,0.699999988079071,4384.2421875,,,,
6234.352,629.4753,2666.85,0.6499999761581421,4332.59130859375,,,,
5849.2007,474.8818,855.95,0.6000000238418579,4203.9208984375,,,,
3144.1028,397.21555,1676.22,0.6000000238418579,4110.884765625,,,,
4045.8862,562.0505,7982.61,0.6000000238418579,4166.455078125,,,,
12890.341,1007.5302,906.31,0.6000000238418579,4252.4599609375,,,,
6472.973,376.3735,2280.78,0.6499999761581421,3794.59765625,,,,
4272.1353,773.9543,819.44,0.6499999761581421,3654.15771484375,,,,
8158.9395,847.9417,1232.26,0.6499999761581421,3886.673828125,,,,
4844.717,361.89084,412.31,0.6499999761581421,3823.80810546875,,,,
2980.1367,282.02975,311.05,0.6499999761581421,3746.49951171875,,,,
2130.3123,448.84225,75.68,0.6000000238418579,3739.657470703125,,,,
2860.6443,287.05637,678.16,,,,,,
4330.815,383.5366,1115.54,,,,,,
5505.0566,450.447,2060.67,,,,,,
6573.3496,566.3637,372.75,,,,,,
2743.509,282.62936,488.46,,,,,,
2846.0615,436.91013,106.7,,,,,,
2783.4326,253.47726,518.37,,,,,,
3547.1138,375.31882,345.58,,,,,,
3941.0154,304.3342,168.37,,,,,,
3347.4204,315.96603,189.71,,,,,,
3793.311,279.69894,402.18,,,,,,
4178.5874,320.301,1105.8,,,,,,
5652.885,448.95676,127.66,,,,,,
3003.6853,278.1252,405.29,,,,,,
3691.2178,403.4055,2745.1,,,,,,
8709.264,560.769,3048.63,,,,,,
6518.149,464.46115,1032.87,,,,,,
3245.528,308.86935,496.93,,,,,,
2962.995,401.7407,229.7,,,,,,
2701.3628,470.84396,261.82,,,,,,
