y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
8512.556,423.4426,4397.07,3.389216184616089
7199.215,529.48236,196.86,
2655.2615,183.46286,1308.53,
3999.3352,502.0139,1426.1,
6963.1567,397.44943,3795.81,
8279.51,431.04782,824.42,
3259.0476,14.121063,1022.14,
3070.957,340.1367,884.22,
5118.605,322.04953,387.74,
3620.024,140.7695,850.92,
3926.5535,104.331024,1090.91,
4475.411,50.02365,234.53,
2817.3088,5.2902527,105.37,
2626.4626,88.38791,104.03,
3197.9866,58.753143,542.48,
3897.708,-5.2705383,882.94,
4206.0596,-52.56375,578.83,
3382.1562,-48.215363,380.34,
3023.1558,25.26535,824.17,
4008.9836,59.905975,650.83,
3741.6084,4.6037292,2074.02,
5715.4023,99.76584,1049.59,
3827.5342,-2.5122378,3471.46,
7118.485,351.29953,484.46,
3214.5493,47.411346,319.5,
2238.137,309.26926,450.03,
4432.3257,268.56638,845.72,
4663.712,85.29294,1105.76,
4308.2207,-4.7463684,820.6,
3590.6807,9.572235,518.09,
3148.083,71.14548,855.14,
3959.3823,101.835175,1053.83,
4341.791,56.20749,973.65,
3892.375,39.718475,205.38,
2718.012,56.22751,412.87,
3237.7756,112.47238,610.35,
3959.7825,45.68161,899.82,
4130.0234,-0.53469867,803.31,
3722.5266,-8.4565735,1005.94,
3947.4893,49.665253,466.84,
3223.2444,44.280243,459.05,
3216.7673,86.53415,706.69,
3922.4822,62.003143,1041.8,
4332.444,26.071991,1036.9,
4017.6409,15.242889,527.9,
3138.3875,44.85031,998.07,
4027.0527,114.44528,1493.54,
5008.192,90.664276,2299.9,
5683.776,141.34763,2666.85,
5693.6074,226.05368,855.95,
3181.0774,180.32224,1676.22,
4553.328,382.10153,7982.61,
13094.446,1094.3328,906.31,
4788.2295,-25.946564,2280.78,
4496.85,222.50388,819.44,
7846.4863,459.93088,1232.26,
5604.34,311.78195,412.31,
3514.5442,158.85178,311.05,
3102.9983,143.51486,75.68,
3047.47,73.21188,678.16,
4036.9019,32.04245,1115.54,
4589.0903,-29.65384,2060.67,
5508.806,46.88083,372.75,
2720.0796,-16.644318,488.46,
2776.423,193.55783,106.7,
3332.6426,138.68796,518.37,
3796.3062,60.7424,345.58,
3428.0955,-32.85843,168.37,
2942.6648,-18.979523,189.71,
3102.1135,-2.9365542,402.18,
3556.7163,-16.15506,1105.8,
4577.7446,-22.203888,127.66,
2775.8733,-74.64139,405.29,
3013.5012,54.80124,2745.1,
7447.3384,161.37009,3048.63,
6333.134,155.57565,1032.87,
3131.2256,86.7175,496.93,
2749.8652,355.60886,229.7,
3809.8025,314.25046,261.82,
