y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
7858.4165,567.9416,4397.07,10.958211421966553
7090.6504,588.5671,196.86,
3138.2588,125.438934,1308.53,
4319.918,452.291,1426.1,
7741.439,433.05515,3795.81,
7961.4844,608.90497,824.42,
4179.639,124.80612,1022.14,
3640.9504,307.5134,884.22,
5740.289,297.728,387.74,
5037.754,226.39328,850.92,
4633.234,179.59958,1090.91,
5064.069,186.07297,234.53,
3989.5889,84.809296,105.37,
3781.2935,89.174286,104.03,
4264.328,87.67673,542.48,
4602.685,102.94235,882.94,
4668.08,98.08005,578.83,
4195.198,72.20358,380.34,
3976.221,83.99533,824.17,
4642.36,151.3359,650.83,
4573.2974,122.741425,2074.02,
5589.8096,274.7856,1049.59,
4655.7407,147.73117,3471.46,
6388.117,491.4797,484.46,
4352.4834,134.37668,319.5,
3329.8533,245.1135,450.03,
5209.38,224.66159,845.72,
5598.0,230.83102,1105.76,
4805.8613,147.90866,820.6,
4367.1274,126.27707,518.09,
4115.4746,127.05759,855.14,
4684.428,180.7109,1053.83,
4983.692,186.88351,973.65,
4622.514,164.75241,205.38,
3891.6917,94.58322,412.87,
4226.932,141.21408,610.35,
4748.775,138.2673,899.82,
4747.0737,140.76218,803.31,
4427.3184,113.73117,1005.94,
4570.394,161.207,466.84,
4235.4326,117.95065,459.05,
4210.5444,136.54611,706.69,
4670.274,148.8281,1041.8,
4906.84,167.80148,1036.9,
4648.253,151.45065,527.9,
4118.9033,118.22092,998.07,
4668.25,195.17795,1493.54,
5407.6597,239.26877,2299.9,
5775.866,318.93942,2666.85,
5772.95,363.71286,855.95,
4089.1091,210.10153,1676.22,
4972.425,385.22995,7982.61,
11415.298,1135.3751,906.31,
4978.4727,144.96262,2280.78,
3521.7317,514.6313,819.44,
7431.883,416.97263,1232.26,
6841.494,473.73264,412.31,
4598.8833,173.85861,311.05,
4357.3687,178.60764,75.68,
4193.2446,93.50729,678.16,
4713.4053,136.1865,1115.54,
4953.928,135.22897,2060.67,
5478.8813,241.53537,372.75,
3843.6912,73.15744,488.46,
3787.1384,177.28,106.7,
4517.7197,135.85446,518.37,
4721.914,153.1218,345.58,
4288.047,63.052948,168.37,
3959.2778,50.020966,189.71,
4025.6187,50.181366,402.18,
4333.2935,73.71164,1105.8,
4879.1,132.68869,127.66,
3889.453,24.489716,405.29,
3914.9854,96.34421,2745.1,
6658.406,352.12692,3048.63,
6411.9736,359.5273,1032.87,
3716.0134,156.17917,496.93,
3666.678,244.87985,229.7,
5211.9443,258.39157,261.82,
