y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
6798.19,607.7773,4397.07,3.359386682510376
7370.93,668.9184,196.86,
4359.847,155.13522,1308.53,
5379.899,313.24118,1426.1,
5636.965,221.53806,3795.81,
7127.907,567.3747,824.42,
4072.7734,150.64572,1022.14,
4403.229,230.41647,884.22,
4362.8433,166.47653,387.74,
3841.1555,47.69211,850.92,
3430.353,135.30637,1090.91,
3653.056,156.23386,234.53,
2977.3909,53.191864,105.37,
2733.2854,47.057343,104.03,
2684.5518,31.586151,542.48,
2898.3682,75.18283,882.94,
3101.9404,121.765594,578.83,
2976.431,91.28732,380.34,
2883.6746,76.345184,824.17,
3277.0522,127.220184,650.83,
3203.8755,97.6926,2074.02,
4359.342,296.73947,1049.59,
3769.7236,156.20114,3471.46,
6058.264,543.5661,484.46,
3948.481,109.60007,319.5,
3784.9355,116.48288,450.03,
3600.9688,98.81418,845.72,
3823.199,97.018036,1105.76,
3474.6707,156.58249,820.6,
3352.375,128.29611,518.09,
3189.6628,97.88205,855.14,
3471.0032,135.44968,1053.83,
3649.3718,152.27097,973.65,
3569.3613,146.24997,205.38,
2983.462,58.906708,412.87,
3065.1074,80.62839,610.35,
3158.299,91.67087,899.82,
3317.1147,126.09421,803.31,
3234.0354,122.47604,1005.94,
3495.6274,154.27365,466.84,
3175.3157,86.07126,459.05,
3124.9575,85.161835,706.69,
3249.3914,109.9238,1041.8,
3513.4744,147.2463,1036.9,
3519.8801,153.05222,527.9,
3207.394,96.86276,998.07,
3590.1025,158.34616,1493.54,
4083.9492,214.30588,2299.9,
4872.0215,331.16428,2666.85,
5415.186,400.85153,855.95,
4275.2925,171.41745,1676.22,
5015.2056,301.98434,7982.61,
10757.328,1284.9956,906.31,
4989.8677,189.25705,2280.78,
6178.6025,541.53436,819.44,
5714.9077,211.54147,1232.26,
6113.1987,151.49435,412.31,
3525.6365,90.61569,311.05,
3328.0046,58.216034,75.68,
2757.8008,32.63449,678.16,
3089.284,95.59543,1115.54,
3376.2744,152.44772,2060.67,
4311.6455,287.43454,372.75,
3231.268,81.63937,488.46,
3334.0266,113.28659,106.7,
3035.0745,40.070038,518.37,
3153.7646,70.7634,345.58,
2755.973,58.44748,168.37,
2605.7341,39.455536,189.71,
2564.0193,44.161102,402.18,
2739.6882,63.47238,1105.8,
3294.997,151.81564,127.66,
2678.4092,36.683807,405.29,
2834.4775,81.12033,2745.1,
4907.1533,392.96262,3048.63,
5582.691,418.32785,1032.87,
4160.1323,196.73312,496.93,
3986.5037,157.03464,229.7,
3888.8167,55.911102,261.82,
