y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time,picp,mpiw
7642.9746,618.47504,4397.07,6.8999223709106445,0.9113924050632911,5472.89013671875
7414.1094,730.69257,196.86,,,
4839.6445,13.286591,1308.53,,,
4836.112,438.4382,1426.1,,,
6517.1333,392.21066,3795.81,,,
7739.2637,915.7524,824.42,,,
5465.264,57.872284,1022.14,,,
4656.418,351.6733,884.22,,,
5594.1567,169.50436,387.74,,,
5598.414,251.57541,850.92,,,
5281.648,83.11447,1090.91,,,
5527.7544,128.77023,234.53,,,
5180.0684,-12.5159,105.37,,,
5062.1904,-122.19266,104.03,,,
5312.492,-119.26248,542.48,,,
5457.5034,-10.126495,882.94,,,
5526.2256,-34.31302,578.83,,,
5312.0503,-66.46707,380.34,,,
5154.375,-86.11673,824.17,,,
5347.613,24.09372,650.83,,,
5391.957,29.507538,2074.02,,,
5907.1147,260.63864,1049.59,,,
5523.1416,90.22067,3471.46,,,
6655.8154,579.3349,484.46,,,
5500.2637,27.157928,319.5,,,
4719.01,230.82004,450.03,,,
5487.8623,8.074432,845.72,,,
5799.5757,248.78806,1105.76,,,
5490.5835,69.88376,820.6,,,
5297.765,33.793427,518.09,,,
5119.776,4.1371765,855.14,,,
5305.8643,86.948944,1053.83,,,
5480.8623,141.26218,973.65,,,
5345.223,121.82272,205.38,,,
5090.2314,-53.5618,412.87,,,
5152.7256,2.5466,610.35,,,
5435.116,18.533417,899.82,,,
5448.7217,82.35983,803.31,,,
5349.583,-5.229767,1005.94,,,
5310.548,72.966034,466.84,,,
5221.822,2.0390317,459.05,,,
5149.5674,28.134003,706.69,,,
5364.5195,27.958221,1041.8,,,
5481.6787,118.775116,1036.9,,,
5396.556,79.16867,527.9,,,
5154.6396,10.586884,998.07,,,
5271.3257,107.51364,1493.54,,,
5664.6143,212.41623,2299.9,,,
6042.602,381.1738,2666.85,,,
6139.7734,411.6887,855.95,,,
5078.944,234.40598,1676.22,,,
5218.0327,418.88327,7982.61,,,
11438.51,1224.0463,906.31,,,
6523.0225,81.945526,2280.78,,,
4962.8936,294.82883,819.44,,,
6342.1,229.15671,1232.26,,,
6929.103,559.851,412.31,,,
5304.814,31.251678,311.05,,,
5232.2227,138.35934,75.68,,,
5268.597,-112.63724,678.16,,,
5433.8896,42.59372,1115.54,,,
5617.4614,32.345673,2060.67,,,
5947.506,227.94333,372.75,,,
5208.5356,-43.731964,488.46,,,
4872.994,55.403046,106.7,,,
5345.517,-66.878204,518.37,,,
5441.0728,103.5986,345.58,,,
5388.595,-114.05521,168.37,,,
5231.276,-116.49588,189.71,,,
5276.927,-174.36087,402.18,,,
5371.609,-91.39847,1105.8,,,
5557.4077,18.93283,127.66,,,
5300.5625,-150.53006,405.29,,,
5091.7686,-79.34207,2745.1,,,
6791.197,263.17136,3048.63,,,
6865.3193,473.61057,1032.87,,,
4989.615,183.82663,496.93,,,
4748.863,97.28171,229.7,,,
5475.8706,144.28171,261.82,,,
