y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
8109.745,352.89206,4397.07,3.032358407974243
8053.713,504.34714,196.86,
3391.287,99.76926,1308.53,
3588.4739,444.62717,1426.1,
6386.352,34.61374,3795.81,
8077.733,632.22845,824.42,
4023.7603,16.9133,1022.14,
3255.6208,497.6826,884.22,
4318.8657,-27.203888,387.74,
3698.5762,87.016815,850.92,
3534.9238,33.821747,1090.91,
4264.0884,25.229218,234.53,
3023.6877,-20.06424,105.37,
2629.072,-12.697052,104.03,
3003.176,-207.82718,542.48,
3619.2625,-143.14188,882.94,
3924.042,-83.14041,578.83,
3329.654,-61.743683,380.34,
2952.2808,-19.965363,824.17,
3597.4028,-18.5513,650.83,
3633.3694,-52.6326,2074.02,
5478.6504,145.76315,1049.59,
4189.5425,53.74289,3471.46,
6689.9463,502.40573,484.46,
3873.063,-72.97391,319.5,
2611.1938,437.0439,450.03,
3678.275,-154.41776,845.72,
4480.318,32.9216,1105.76,
4121.626,30.689178,820.6,
3525.7588,37.71994,518.09,
3064.4766,66.71994,855.14,
3601.0962,31.64035,1053.83,
4153.383,40.923065,973.65,
3814.1846,78.5903,205.38,
2858.3945,18.957489,412.87,
2981.3828,3.6430357,610.35,
3676.354,-101.33499,899.82,
3931.875,-7.5432434,803.31,
3562.1887,-11.0312805,1005.94,
3708.976,66.63791,466.84,
3191.9126,-8.999054,459.05,
3055.9683,26.85495,706.69,
3576.6794,-42.79007,1041.8,
4120.5796,26.24997,1036.9,
3908.381,56.421356,527.9,
3139.7402,56.000458,998.07,
3649.2039,84.41867,1493.54,
4837.295,81.40988,2299.9,
5839.2075,229.54123,2666.85,
5994.6685,352.02414,855.95,
3634.039,244.04611,1676.22,
4399.4995,372.22922,7982.61,
11573.653,512.33344,906.31,
4754.696,45.87619,2280.78,
4139.6465,508.74533,819.44,
6046.2417,-327.33377,1232.26,
5705.823,335.01608,412.31,
3333.6082,-43.513947,311.05,
3077.3262,73.191376,75.68,
2925.0693,-165.88382,678.16,
3680.5652,-84.78641,1115.54,
4332.945,-47.304718,2060.67,
5525.5977,131.25974,372.75,
3186.14,51.479706,488.46,
2736.1777,253.40988,106.7,
3127.8752,-184.01346,518.37,
3563.458,-70.57352,345.58,
3296.935,-177.82645,168.37,
2913.1987,-132.44778,189.71,
2934.0781,-183.43948,402.18,
3303.3389,-162.65482,1105.8,
4218.079,-47.02835,127.66,
3014.0396,-146.76077,405.29,
2821.4568,32.03537,2745.1,
6753.3823,33.993378,3048.63,
7291.1646,244.04025,1032.87,
3753.9363,269.73727,496.93,
2849.3328,258.03928,229.7,
3455.6511,-48.21341,261.82,
